slot_id,family,target_test_ids,split,source_role,candidate_source_id,observed_deflection_band_deg,incoming_speed_band,receiver_orientation_group,start_pts,end_pts,media_sha256,status
plan-chain-higher-open-front-development-03,chain-higher-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-open-front-development-04,chain-higher-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-open-front-held-out-01,chain-higher-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,higher-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-open-front-held-out-02,chain-higher-open-front,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,higher-pending-measurement,open-front,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-side-back-development-01,chain-higher-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-side-back-development-02,chain-higher-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-side-back-development-03,chain-higher-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-side-back-development-04,chain-higher-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,development,match-development,8afTHuMZxbI,,higher-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-side-back-held-out-01,chain-higher-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,higher-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
plan-chain-higher-side-back-held-out-02,chain-higher-side-back,PASS-LOW-001;PASS-RUN-001;BALL-IND-001;BALL-GND-001;BALL-GND-002;TOUCH-SLOW-001;TOUCH-FAST-001;TOUCH-BACK-001;TOUCH-90-001,held-out,match-held-out,,,higher-pending-measurement,side-back,,,,UNLOCATED_NOT_ANNOTATED
